P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P09651383A0967|66|0 1|70
P09651383A0967|22|0 1|37
P09651375T0000|90|0 1|92
P09651367T0000|39|0 1|41
P09651321A0000|11|0 1|28
P09649501A0358|36|0 1|58
P09649438A0182|74|0 1|80
P09649437A1140|91|0 1|96
P09649437A1140|45|0 1|50
P09647240A0000|49|0 1|52
P09645961A1158|38|0 1|41
P09642238A1285|41|0 1|46
P09643546A0436|57|0 1|80
P09642238A1285|59|0 1|61
P09642227A0000|0|0 1|11
P09642214A0244|57|0 1|61
P09641167A1359|28|0 1|31
P09641167A1359|35|0 1|42
P09640162A0242|27|0 1|56
P09639558A0957|54|0 1|56
P09636358A0000|19|0 1|21
P09637689A0150|82|0 1|85
P09632785A0000|30|0 1|90
P09636708A0460|38|0 1|41
P09632785A0000|25|0 1|28
P09632734A0943|49|0 1|52
P09632734A0943|33|0 1|36
P09632637A0361|84|0 1|86
P09632637A0361|52|0 1|54
P09630245A0903|0|0 1|11
P09630245A0102|0|0 1|11
P09628890A0455|91|0 1|98
P09627285A0554|32|0 1|34
P09626662A1076|48|0 1|53
P09625762A0426|62|0 1|65
P09623830A0000|34|0 1|38
P09622121A0525|43|0 1|45
P09621372A0369|67|0 1|69
P09620273A0189|13|0 1|21
P09620873A1710|33|0 1|44
P09620873A1710|87|0 1|95
P09620606A0000|45|0 1|47
P09618475A0747|94|0 1|97
P09618481T0000|20|0 1|22
P09618481T0000|86|0 1|88
P09618481T0000|29|0 1|32
P09618475A0747|19|0 1|34
P09618150A1464|25|0 1|28
P09618150A0127|27|0 1|51
P09617807A0929|26|0 1|51
P09614106T0000|67|0 1|76
P09611234A0098|72|0 1|75
P09611234A0098|77|0 1|80
P09611234A0098|65|0 1|68
P09611234A0098|20|0 1|24
P09611229A1664|32|0 1|35
P09599102A1191|11|0 1|21
P09605137A0677|28|0 1|30
P09605137A0677|61|0 1|64
P09605137A0677|20|0 1|24
P09601940A0280|24|0 1|30
P09601510A0215|38|0 1|47
P09599664A0881|72|0 1|78
P09599664A0881|61|0 1|68
P09599102A1191|67|0 1|85
P09596638T0000|23|0 1|42
P09595496A0000|43|0 1|46
P09595496A0000|30|0 1|41
P09590540A0513|3|0 1|28
P09588228A0370|22|0 1|46
P09587549T0001|37|0 1|51
P09585253A1147|32|0 1|34
P09585253A1147|36|0 1|38
P09575217A0971|75|0 1|78
P09584180A0701|68|0 1|82
P09584194A1305|59|0 1|62
P09584194A0000|18|0 1|20
P09584194A0000|10|0 1|12
P09579808A0000|11|0 1|71
P09584165T0000|63|0 1|71
P09582953A1670|18|0 1|28
P09582953A1670|42|0 1|47
P09583208A0171|17|0 1|30
P09582953A1670|30|0 1|37
P09581872A0000|45|0 1|57
P09582953A1097|45|0 1|54
P09582306T0000|16|0 1|22
P09582327A0295|51|0 1|69
P09582953A0000|85|0 1|90
P09582953A0000|20|0 1|50
P09582350A0165|91|0 1|92
P09582331A0506|86|0 1|91
P09582267A0326|83|0 1|89
P09579808A0000|73|0 1|77
P09580563A0331|50|0 1|94
P09579808A0000|79|0 1|89
P09577365A0747|63|0 1|76
P09576915A0269|28|0 1|30
P09575217A0971|37|0 1|45
P09575217A0000|27|0 1|53
P09575217A0000|55|0 1|58
P09575143A1189|75|0 1|91
P09575187A1558|16|0 1|24
P09575143A1189|17|0 1|22
P09573187T0000|35|0 1|56
P09572990A0630|38|0 1|42
P09572990A0630|20|0 1|23
P09566876A0000|74|0 1|76
P09572491A1044|50|0 1|56
P09566882A0693|78|0 1|81
P09566882A0693|94|0 1|97
P09566882A0693|31|0 1|34
P09566876A0000|55|0 1|72
P09566871T0000|52|0 1|85
P09566871T0000|29|0 1|31
P09565576T0000|18|0 1|44
P09566871A0343|25|0 1|30
P09565606A0520|49|0 1|52
P09553143A0729|43|0 1|45
P09562558T0000|64|0 1|91
P09562558T0000|22|0 1|43
P09556566A0174|9|0 1|24
P09560221A0282|41|0 1|51
P09560221A0282|6|0 1|11
P09557682A0490|21|0 1|50
P09556861A1018|64|0 1|65
P09556566A0174|36|0 1|61
P09556573A1062|33|0 1|41
P09556566A0174|63|0 1|70
P09556566A0174|26|0 1|28
P09556561A0671|34|0 1|38
P09553040A0651|89|0 1|97
P09551938A0318|79|0 1|94
P09549632A1189|83|0 1|85
P09545638T0000|88|0 1|94
P09546424A1550|26|0 1|42
P09545638T0000|78|0 1|84
P09545638A1181|28|0 1|34
P09545638A0836|0|0 1|24
P09545638A0330b|30|0 1|56
P09545638A0330a|30|0 1|56
P09545332A0137|94|0 1|97
P09545332A0137|68|0 1|92
P09545323T0000|73|0 1|76
P09545312A1197|38|0 1|48
P09545293A0590|12|0 1|18
P09544991A0483|31|0 1|58
P09544991A0483|24|0 1|28
P09539746A0781|53|0 1|61
P09539779A0621|89|0 1|92
P09539746A0781|43|0 1|48
P09538220A0000|54|0 1|60
P09537651A0366|60|0 1|64
P09537378A1227|62|0 1|65
P09537375A0198|55|0 1|58
P09537375A0198|49|0 1|52
P09537361A0149|96|0 1|98
P09537295A0951|71|0 1|90
P09536440A0000|61|0 1|65
P09535835A0279|53|0 1|56
P09535851A0591|62|0 1|77
P09535892A0000|19|0 1|41
P09535835A0279|60|0 1|64
P09535835A0279|19|0 1|23
P09528987A1348|27|0 1|58
P09533030T0000|28|0 1|61
P09531538A0983|69|0 1|83
P09531549A0658|88|0 1|94
P09531549A0658|26|0 1|28
P09529156A1238|44|0 1|46
P09528987A1348|64|0 1|68
P09528792A0000|21|0 1|51
P09528770A1379|74|0 1|77
P09528770A1379|39|0 1|42
P09528766A0915|95|0 1|98
P09528766A0915|44|0 1|56
P09528758T0000|79|0 1|85
P09525891T0000|20|0 1|48
P09525598A0325|15|0 1|23
P09524276A0939|63|0 1|65
P09524276A0939|0|0 1|11
P09524250A0767|40|0 1|42
P09524259A0301|52|0 1|56
P09524229A0000|30|0 1|36
P09521907A0190|0|0 1|22
P09521913A0400|29|0 1|35
P09522979T0000|14|0 1|30
P09523551A0367|65|0 1|89
P09524122A0336|65|0 1|72
P09524122A0336|21|0 1|24
P09523478A0572|11|0 1|13
P09521913A0400|55|0 1|76
P09521907A0190|31|0 1|44
P09515858A0000|32|0 1|54
P09515921A1662|76|0 1|84
P09516472A0292|87|0 1|97
P09519828A0809|9|0 1|12
P09515924A0104|31|0 1|40
P09515858A0000|11|0 1|19
P09515031A1020|66|0 1|68
P09515031A1020|24|0 1|32
P09514272A0482|14|0 1|17
P09514260A1083|40|0 1|54
P09514260A1083|10|0 1|21
P09514156A1147|69|0 1|90
P09512559T0000|38|0 1|54
P09512550T0000|12|0 1|35
P09511724A0483|32|0 1|41
P09510925A0389|30|0 1|31
P09507032A1144|22|0 1|31
P09506962A1000|39|0 1|47
P09506959T0000|93|0 1|95
P09498553T0000|82|0 1|98
P09503526A0614|73|0 1|76
P09504423A0114|26|0 1|35
P09503017A1021|25|0 1|34
P09499048A1003|91|0 1|92
P09501093A0071|15|0 1|48
P09501093A0071|72|0 1|74
P09499061A0000|43|0 1|89
P09498553T0000|34|0 1|57
P09488491A0000|33|0 1|77
P09490676A0800|21|0 1|34
P09488486A0000|3|0 1|24
P09488486A0000|26|0 1|28
P09486531A0638|20|0 1|24
P09487130A0383|69|0 1|72
P09484781A1233|94|0 1|96
P09484463T0000|38|0 1|58
P09482902A0942|76|0 1|78
P09482902A0942|30|0 1|32
P09480929T0000|7|0 1|10
P09482902A0423|62|0 1|71
P09482107A0551|52|0 1|54
P09481826T0000|83|0 1|95
P09480831A0272|35|0 1|45
P09479498A0000|18|0 1|37
P09478976T0000|60|0 1|70
P09478971A1896|72|0 1|74
P09478921A0126|18|0 1|20
P09477316A0140|38|0 1|44
P09473483A0953|74|0 1|82
P09469933A1060|78|0 1|83
P09469820A0151|43|0 1|50
P09468386A0594|27|0 1|30
P09468515A0621|78|0 1|92
P09466267A1192|86|0 1|89
P09466267A1192|81|0 1|84
P09463380A1050|76|0 1|83
P09464525T0000|59|0 1|69
P09455695A0762|40|0 1|42
P09454735A1782|39|0 1|41
P09452444A0450|58|0 1|78
P09451003A0894|60|0 1|76
P09447963A0223|54|0 1|57
P09447973A0168|69|0 1|75
P09445488A1169|87|0 1|90
P09445488A1169|83|0 1|85
P09445488A0230|23|0 1|38
P09442172A0908|73|0 1|85
P09442080A0856|48|0 1|52
P09442080A0856|90|0 1|94
P09437001A0769|27|0 1|31
P09438427A0727|44|0 1|48
P09436989A1011|65|0 1|68
P09435789A0961a|14|0 1|18
P09435806T0001|79|0 1|83
P09435056A0128|27|0 1|52
P09434160A0767|7|0 1|13
P09431812A0576|26|0 1|32
P09431812A0576|34|0 1|36
P09431812A0576|21|0 1|22
P09430668A0172a|58|0 1|96
P09430661A0796|75|0 1|79
P09430661A0796|59|0 1|61
P09427627T0000|33|0 1|44
P09428389A1805|94|0 1|97
P09427844A0739|81|0 1|90
P09427844A0739|76|0 1|78
P09427544A0000|50|0 1|58
P09427627A0802|20|0 1|48
P09427544A0000|37|0 1|48
P09426239A0386|3|0 1|11
P09426143A1358|56|0 1|58
P09426143A1358|62|0 1|65
P09426068A0826|76|0 1|84
P09425036A0649|45|0 1|53
P09422351A0000|41|0 1|46
P09422351A0000|66|0 1|94
P09421516A1516|23|0 1|37
P09421508A0696|82|0 1|85
P09421511A0827|59|0 1|72
P09421508A0696|26|0 1|30
P09420275A0682|31|0 1|34
P09417870A0105|39|0 1|52
P09418871A0620|21|0 1|23
P09418882A0760|63|0 1|68
P09419415A0236|26|0 1|29
P09419421A0385|41|0 1|43
P09418882A0760|92|0 1|98
P09418871A0620|27|0 1|30
P09418861A0623|84|0 1|94
P09418040T0000|39|0 1|54
P09418040T0000|0|0 1|11
P09417108A0000|25|0 1|35
P09417108A0000|16|0 1|21
P09417082A0127|40|0 1|56
P09414319A1442|43|0 1|48
P09414319A1442|29|0 1|34
P09409821T0000|3|0 1|34
P09409774A0214|90|0 1|98
P09407090T0000|46|0 1|50
P09407031A0974|62|0 1|65
P09407026A0426|81|0 1|85
P09405685A0113|50|0 1|52
P09402139A1121|33|0 1|57
P09388200A0639|74|0 1|77
P09400613A0594|19|0 1|30
P09400613A0594|34|0 1|37
P09396722A0185|8|0 1|12
P09398332A0732|39|0 1|44
P09398332A0732|79|0 1|84
P09398332A0732|33|0 1|35
P09396823T0000|23|0 1|51
P09396796A1173|31|0 1|35
P09396796A1173|43|0 1|57
P09388198A1396|79|0 1|81
P09393966A0190|40|0 1|42
P09395470A0294|0|0 1|11
P09393966A0190|46|0 1|48
P09393966A0190|17|0 1|19
P09391173A0811|35|0 1|45
P09389669A1009|11|0 1|13
P09388271A1243|75|0 1|77
P09388198A1396|82|0 1|90
P09388198A1396|72|0 1|74
P09383188A0654|65|0 1|75
P09383156A0691|63|0 1|89
P09380707A0714|38|0 1|41
P09382886A1061|76|0 1|78
P09382924A0131|69|0 1|77
P09381261A0970|28|0 1|30
P09380707A0714|26|0 1|29
P09380507A0514|30|0 1|32
P09380507A0514|40|0 1|41
P09380507A0514|36|0 1|38
P09380504A1255|3|0 1|11
P09374541T0000|52|0 1|79
P09372960A0456|40|0 1|51
P09373140A0000|3|0 1|35
P09372968A0996|90|0 1|92
P09372968A0532|49|0 1|53
P09372960A0456|56|0 1|60
P09372937T0000|8|0 1|38
P09369453A0273|43|0 1|77
P09371731A0627|41|0 1|57
P09371626A1345|40|0 1|48
P09369482A0690|75|0 1|78
P09371622A0779|18|0 1|28
P09371431T0000|37|0 1|43
P09371564A0713|23|0 1|32
P09371455A0000|40|0 1|51
P09369453A0273|27|0 1|37
P09368058A0969|11|0 1|13
P09369450A1358|43|0 1|44
P09368190A1053|20|0 1|43
P09368058A0969|58|0 1|61
P09368057A1083|41|0 1|43
P09368026A0435|96|0 1|98
P09368026A0435|33|0 1|36
P09368026A0000|12|0 1|13
P09368014A0740|36|0 1|37
P09367426A1354|27|0 1|28
P09368006A1332|32|0 1|40
P09367676A1115|48|0 1|53
P09367392A0567|67|0 1|70
P09366517A1828|51|0 1|53
P09366517A0835|17|0 1|19
P09364750T0000|27|0 1|31
P09364211A0319|41|0 1|43
P09362480A0452|49|0 1|57
P09362473A1540|27|0 1|32
P09360956A0840|56|0 1|76
P09359887A1168|32|0 1|36
P09360422A0135|82|0 1|95
P09359887A1168|38|0 1|44
P09359844A0674|10|0 1|23
P09358069T0000|62|0 1|64
P09352127A0953|44|0 1|48
P09353343T0000|41|0 1|79
P09353343A0919|0|0 1|14
P09353304A0732|58|0 1|62
P09353296A0510|46|0 1|75
P09351823A0414|17|0 1|20
P09349501A0196|57|0 1|75
P09348226A0852|67|0 1|71
P09346938A1680|72|0 1|96
P09346925A0660|15|0 1|18
P09346935A0459|70|0 1|74
P09346238T0000|68|0 1|76
P09344650A0967|45|0 1|52
P09343433A0360|86|0 1|89
P09343426A0456|33|0 1|51
P09341193A0362|27|0 1|32
P09343210A1112|44|0 1|57
P09341193A0362|87|0 1|90
P09341193A0362|34|0 1|38
P09341193A0362|20|0 1|22
P09341192T0000|65|0 1|78
P09341182A0605|83|0 1|86
P09341158A0167|38|0 1|40
P09333026A0397|21|0 1|23
P09341139A0690|51|0 1|57
P09336455A0000|67|0 1|71
P09337861T0000|10|0 1|38
P09336455A0000|75|0 1|83
P09333026A0397|88|0 1|96
P09335298A1227|29|0 1|40
P09335298A0529|24|0 1|35
P09334331A0910|36|0 1|56
P09334331A0910|61|0 1|64
P09333168A0310|0|0 1|14
P09333018A0000|0|0 1|32
P09328824A0000|34|0 1|57
P09328476A0374|44|0 1|85
P09326317A0372|76|0 1|84
P09328476A0068|76|0 1|77
P09328343A0181|92|0 1|94
P09328341A1449|18|0 1|22
P09326317A0372|69|0 1|72
P09325284A0469|59|0 1|77
P09324988X0000|20|0 1|22
P09325273A1240|66|0 1|74
P09322738A0510|24|0 1|30
P09321930A0567|70|0 1|73
P09321930A0567|45|0 1|47
P09317131A1332|84|0 1|88
P09317131A1332|30|0 1|58
P09317131A0000|0|0 1|11
P09315678A0278|60|0 1|83
P09315651T0000|34|0 1|43
P09315632A1137|63|0 1|79
P09314537A1600|52|0 1|70
P09309457A0680|35|0 1|37
P09312087A0000|92|0 1|96
P09312087A0000|43|0 1|45
P09312087A0000|29|0 1|41
P09312028A0975|17|0 1|29
P09311808A0341|31|0 1|32
P09311810A0814|61|0 1|80
P09311810A0814|21|0 1|35
P09311568A0595|23|0 1|38
P09311796A0218|69|0 1|73
P09310836A1019|40|0 1|51
P09309457A0680|44|0 1|46
P09309457A0680|39|0 1|42
P09307065A0553|25|0 1|45
P09307065A0553|53|0 1|85
P09307065A0553|14|0 1|23
P09305870A0894|85|0 1|88
P09305870A0894|73|0 1|82
P09305870A0894|30|0 1|32
P09305631A0770|16|0 1|20
P09305755A0540|71|0 1|73
P09305755A0540|90|0 1|92
P09305755A0540|51|0 1|69
P09303635A0000|64|0 1|92
P09305592A0000|69|0 1|71
P09303437A0875|60|0 1|62
P09303437A0875|26|0 1|28
P09297698A0933|65|0 1|70
P09297698A0933|40|0 1|50
P09294453A0949|77|0 1|82
P09293006A1412|21|0 1|24
P09294161A0650|44|0 1|46
P09294262A0885|62|0 1|65
P09294161A0650|47|0 1|51
P09294139A0729|35|0 1|52
P09290207A0731|39|0 1|58
P09291098A0452|43|0 1|45
P09288916T0000|84|0 1|94
P09288848A0780|15|0 1|18
P09287362A0589|41|0 1|43
P09285789A0712|75|0 1|78
P09285789A0712|49|0 1|51
P09282911A0277|66|0 1|76
P09278494A0762|80|0 1|85
P09278475A0465|88|0 1|95
P09278445T0000|25|0 1|29
P09271417A1011|39|0 1|44
P09278441A1160|21|0 1|28
P09272138A1153|46|0 1|52
P09275159T0000|0|0 1|38
P09271496T0000|17|0 1|30
P09271417A0585|16|0 1|23
P09271397A1596|81|0 1|91
P09271397A1596|92|0 1|96
P09271394A0558|81|0 1|84
P09271394A0558|54|0 1|56
P09271393A1333|56|0 1|69
P09271393A1333|48|0 1|50
P09269900A1035|91|0 1|95
P09269900A1035|86|0 1|89
P09269900A1035|36|0 1|38
P09268661A1405|37|0 1|56
P09268652A0116|16|0 1|32
P09267306A0381|48|0 1|51
P09268298T0000|0|0 1|44
P09268387A0293|52|0 1|71
P09267439A0000|19|0 1|32
P09264466A0947|46|0 1|58
P09263010T0000|50|0 1|52
P09261178T0000|8|0 1|47
P09259315A0809|10|0 1|13
P09259320A0830|82|0 1|85
P09259320A0830|89|0 1|92
P09259315A0809|26|0 1|44
P09259313A0950|60|0 1|62
P09259313A0950|13|0 1|20
P09255349A0836|20|0 1|43
P09255349A0836|53|0 1|56
P09257651T0000|11|0 1|12
P09258439A1001|56|0 1|61
P09254709T0000|65|0 1|68
P09242506A1033|62|0 1|76
P09244282A1371|16|0 1|19
P09247645A0000|57|0 1|64
P09243840A0663|61|0 1|68
P09252406A0511|49|0 1|52
P09243505A1194|61|0 1|71
P09233801A1180|57|0 1|64
P09241232A1154|86|0 1|89
P09233809A0815|53|0 1|76
P09234696A0238|50|0 1|85
P09236118A1455|21|0 1|23
P09238860A1974|49|0 1|52
P09236224A0939|21|0 1|23
P09234743A0475|55|0 1|71
P09234723A0846|59|0 1|61
P09234720A1015|42|0 1|47
P09234720A1015|52|0 1|56
P09234720A1015|38|0 1|40
P09234690A0242|49|0 1|54
P09234717A0000|66|0 1|84
P09234703A0192|51|0 1|53
P09234703A0192|57|0 1|61
P09234703A0192|42|0 1|50
P09233811A0072|54|0 1|77
P09233809A0381|39|0 1|43
P09233809A0381|45|0 1|48
P09233801A1180|84|0 1|96
P09228092A1779|31|0 1|37
P09232593A0946|48|0 1|56
P09230894A0422|18|0 1|24
P09228042A0109|58|0 1|64
P09224811A0000|61|0 1|94
P09225682A0579|22|0 1|37
P09225506A0462|50|0 1|78
P09223479A1193|79|0 1|97
P09223479A1193|34|0 1|40
P09223475A0898|59|0 1|62
P09220177A0564|51|0 1|53
P09216936T0000|53|0 1|58
P09215525A0581|50|0 1|52
P09211981A0526|59|0 1|62
P09212059A1356|72|0 1|75
P09211981A0526|25|0 1|28
P09211913A0000|0|0 1|41
P09211913A0000|43|0 1|46
P09211354A0000|40|0 1|44
P09210478A0000|50|0 1|54
P09209406A1021|46|0 1|77
P09208930T0000|48|0 1|84
P09209031A0350|49|0 1|71
P09204570A0110|54|0 1|57
P09204570A0110|34|0 1|38
P09203586A1197|30|0 1|42
P09203585A0660|21|0 1|40
P09202859A0091|48|0 1|50
P09201946A0000|47|0 1|94
P09199970A1101|94|0 1|96
P09199970A1101|0|0 1|21
P09199328T0000|42|0 1|45
P09199413A0518|72|0 1|78
P09199348A0156|36|0 1|38
P09199292A0536|58|0 1|64
P09199322T0000|59|0 1|82
P09199292A0536|72|0 1|78
P09199292A0536|80|0 1|83
P09199292A0536|66|0 1|69
P09199292A0536|44|0 1|47
P09199286A0086|17|0 1|20
P09199167A0942|16|0 1|20
P09197408A0126|15|0 1|22
P09197241A0770|90|0 1|92
P09197241A0770|31|0 1|34
P09195923A0125|3|0 1|14
P09193077A0000|21|0 1|24
P09192842A0988|49|0 1|56
P09192998A0356|77|0 1|80
P09192786T0000|50|0 1|54
P09192769T0000|43|0 1|48
P09190202A0166|64|0 1|69
P09190202A0166|73|0 1|78
P09190202A0166|34|0 1|53
P09190202A0166|4|0 1|14
P09188094A0934|15|0 1|18
P09183406A0637|41|0 1|46
P09186056A0514|79|0 1|81
P09182990A0245|44|0 1|50
P09182990A0245|38|0 1|42
P09182707A0254|68|0 1|71
P09181130A1067|17|0 1|23
P09175858A1449|43|0 1|61
P09172312T0000|18|0 1|20
P09171389A0549|54|0 1|77
P09171239A2146|78|0 1|89
P09171239A2146|16|0 1|18
P09171235A0851|66|0 1|80
P09171081T0000|42|0 1|72
P09170159A0348|77|0 1|86
P09169593T0000|61|0 1|90
P09169593T0000|19|0 1|54
P09169420A0000|87|0 1|98
P09169420A0000|38|0 1|42
P09169127A0371|25|0 1|50
P09168892A1016|34|0 1|57
P09165039A0728|66|0 1|82
P09164856A0980|82|0 1|96
P09162092A0675|79|0 1|82
P09162097A0776|75|0 1|79
P09162092A0675|87|0 1|91
P09162092A0675|38|0 1|40
P09162084A0956|84|0 1|86
P09155024A0955|16|0 1|19
P09159183A0119|33|0 1|36
P09155015A0140|30|0 1|34
P09154819A0501|37|0 1|46
P09148770A0977|84|0 1|86
P09148935A0805|18|0 1|20
P09150728A0596|26|0 1|29
P09148935A0805|71|0 1|72
P09148935A0805|50|0 1|52
P09148903A1715|49|0 1|56
P09148770A0977|87|0 1|95
P09147420T0000|38|0 1|58
P09147420A0623|32|0 1|34
P09144958A0047|44|0 1|95
P09144770A0906|77|0 1|82
P09144195A1051|21|0 1|32
P09144165A0614|40|0 1|43
P09144165A0614|51|0 1|54
P09142146A0887|21|0 1|23
P09139910A1572|59|0 1|70
P09139910A0350|69|0 1|89
P09139892A1150|27|0 1|38
P09138492A0806|23|0 1|32
P09136015A0529|15|0 1|22
P09130718A0497|44|0 1|47
P09135066A0653|74|0 1|85
P09135149A0000|64|0 1|68
P09135149A0000|59|0 1|62
P09132061A0828|73|0 1|86
P09131139T0000|35|0 1|40
P09130700A0676|52|0 1|57
P09130700A0676|86|0 1|90
P09130700A0676|43|0 1|48
P09129147A0644|95|0 1|98
P09121454A1328|34|0 1|37
P09122176A0970|84|0 1|86
P09122176A0970|80|0 1|82
P09121774T0000|11|0 1|24
P09121774T0000|27|0 1|53
P09121454A1328|67|0 1|71
P09121476T0000|38|0 1|58
P09121454A1328|29|0 1|32
P09121433A0463|62|0 1|65
P09121433A0463|17|0 1|20
P09121432A0000|3|0 1|37
P09121430A1075|60|0 1|64
P09121430A1075|30|0 1|37
P09121430A0132|79|0 1|82
P09121430A0132|17|0 1|46
P09121424A0296|44|0 1|47
P09119112A1350|39|0 1|44
P09032259A0972|28|0 1|30
P09119031A1036|12|0 1|35
P09117345A0945|27|0 1|32
P09117345A0945|12|0 1|22
P09032267A0850|42|0 1|44
P09032267A0850|93|0 1|94
P09032304T0000|60|0 1|98
P09037032T0000|41|0 1|45
P09062130A0116|84|0 1|94
P09065690A0463|65|0 1|68
P09115365A0000|15|0 1|41
P09067577A0307|32|0 1|35
P09111367A1098|51|0 1|53
P09111367A1098|79|0 1|83
P09108038A1128|22|0 1|38
P09111340A0240|38|0 1|46
P09111314A0970|31|0 1|34
P09111314A1243|54|0 1|61
P09111314A1243|44|0 1|51
P09111309A0674|27|0 1|61
P09111309A0674|16|0 1|20
P09108279A0431|73|0 1|76
P09111048X0000|7|0 1|35
P09110176A0890|27|0 1|31
P09108038A1128|40|0 1|46
P09108029A0399|86|0 1|97
P09067577A0721|57|0 1|60
P09101085A0686|67|0 1|80
P09104816A0610|11|0 1|13
P09067577A0721|78|0 1|80
P09091403T0001|80|0 1|90
P09092493A0861|19|0 1|21
P09099745A1446|96|0 1|98
P09098899A0000|49|0 1|51
P09099702A0692|49|0 1|52
P09099702A0692|23|0 1|29
P09099702A0000|77|0 1|97
P09099683A0000|21|0 1|23
P09098066A0119|83|0 1|86
P09094671A1192|47|0 1|50
P09096958A0000|61|0 1|78
P09094671A1192|35|0 1|42
P09092493A0861|42|0 1|45
P09093867T0000|12|0 1|13
P09092636A0802|21|0 1|54
P09092580A1354|38|0 1|46
P09092493A0861|35|0 1|38
P09091403T0001|57|0 1|78
P09090054A0186|81|0 1|97
P09086268A0611|71|0 1|72
P09086268A0611|91|0 1|92
P09089093A0373|27|0 1|38
P09087430A1046|42|0 1|44
P09087430A1046|15|0 1|24
P09085842A1559|64|0 1|65
P09073074T0000|25|0 1|46
P09080250A0212|51|0 1|71
P09085842A0181|36|0 1|42
P09084174A0667|62|0 1|91
P09084174A0667|93|0 1|95
P09084174A0667|49|0 1|52
P09083291A1378|75|0 1|82
P09083291A1378|86|0 1|94
P09079928A1319|31|0 1|36
P09079928A0525|62|0 1|65
P09077076A0219|8|0 1|10
P09079928A0525|0|0 1|11
P09077108A0458|67|0 1|70
P09077437T0000|55|0 1|82
P09079902A0713|71|0 1|73
P09079625A0935|69|0 1|71
P09079650A0136|12|0 1|21
P09079689A0472|30|0 1|32
P09079650A0136|67|0 1|72
P09079650A0136|74|0 1|77
P09079650A0136|61|0 1|64
P09079638A0883|24|0 1|28
P09077108A0458|72|0 1|80
P09077108A0458|63|0 1|65
P09073582A0444|41|0 1|44
P09071407T0000|11|0 1|18
P09067577A0721|74|0 1|76
P09067577A0307|67|0 1|69
P09067577A0307|28|0 1|30
P09064659A1055|28|0 1|54
P09047252A0209|90|0 1|92
P09058373A1620|44|0 1|64
P09058378A1134|20|0 1|42
P09047344A0000|26|0 1|28
P09049270A0488|22|0 1|28
P09049270A0488|66|0 1|77
P09050847A0180|29|0 1|31
P09053835A0865|9|0 1|11
P09053309A1103|44|0 1|53
P09050849A1459|60|0 1|62
P09050867A0542|36|0 1|47
P09050861A0903|32|0 1|34
P09050849A1459|76|0 1|85
P09050849A1459|56|0 1|58
P09050847A0180|33|0 1|35
P09049304A1193|27|0 1|30
P09049304A1193|69|0 1|71
P09049304A1193|73|0 1|76
P09049304A1193|39|0 1|43
P09049270A0488|32|0 1|38
P09049198A0289|41|0 1|43
P09047344A0000|93|0 1|96
P09047344A0000|64|0 1|91
P09047344A0000|0|0 1|24
P09042755T0000|69|0 1|78
P09046384A0403|48|0 1|51
P09045919A1250|60|0 1|62
P09045919A1250|89|0 1|91
P09045636A0789|48|0 1|52
P09045805A0945|32|0 1|44
P09042755T0000|14|0 1|52
P09038202A1951|55|0 1|58
P09040011A1316|14|0 1|16
P09040011A1316|10|0 1|12
P09038202A1951|50|0 1|53
P09034337A0251|90|0 1|96
P09032259A0972|33|0 1|35
P09032259A0150|31|0 1|34
P09032258A0395|74|0 1|78
P09032254A0724|31|0 1|38
P09032250A0257|65|0 1|68
P09032248A0239|47|0 1|51
P09032248A0239|40|0 1|45
P09032233T0000|52|0 1|56
P09032233T0000|24|0 1|45
P09030781A0734|79|0 1|82
P09030781A0734|66|0 1|69
P09030781A0734|53|0 1|56
P09030581A0990|89|0 1|92
P09030581A0990|49|0 1|58
P09029713A1120|74|0 1|77
P09029159A0000|82|0 1|84
P09029091A0881|21|0 1|23
P09029091A0881|58|0 1|77
P09024805A0905b|64|0 1|70
P09028942A0000|52|0 1|58
P09028942A0000|86|0 1|90
P09028942A0000|0|0 1|50
P09027506T0000|82|0 1|97
P09027346A1957|38|0 1|58
P09024793A1325|84|0 1|91
P09024793A1325|77|0 1|80
P09020856A0560|58|0 1|68
P09020169A0552|55|0 1|57
P09020138A0833|74|0 1|78
P09020138A0833|11|0 1|13
P09013760A0000|86|0 1|98
P09013499A0198|63|0 1|90
P09012636A0723|34|0 1|47
P09010223A1850|83|0 1|86
P09011744A0790|38|0 1|64
P09011744A0790|78|0 1|83
P09011744A0790|69|0 1|76
P09010223A1850|94|0 1|97
P09010223A1850|90|0 1|92
P09010223A1850|41|0 1|43
P09010223A0667|72|0 1|83
P09010223A0667|55|0 1|58
P09010223A0667|46|0 1|48
P09009208A0337|65|0 1|71
P09006936T0000|27|0 1|46
P09006914A1127|41|0 1|43
P09006051A1162|20|0 1|89
P09003462A0792|29|0 1|31
P09003462A0792|33|0 1|35
P09003462A0792|46|0 1|50
P09003462A0792|74|0 1|77
P09003462A0792|54|0 1|58
P09003462A0792|41|0 1|44
P09003410A0000|59|0 1|90
P09003312A0740|36|0 1|52
P09003001A1593|24|0 1|37
P09002672A0439|85|0 1|89
P09000049A1341|60|0 1|62
P09000049A1341|17|0 1|19
P08997532A0116|56|0 1|95
P08997532A0116|31|0 1|48
P08997532A0116|8|0 1|10
P08997490A1127|64|0 1|71
P08995681A0518|49|0 1|52
P08990168A0688|37|0 1|41
